lat,long,diameter
19,20,43.26271062659723
15,3821,37.37303547444967
16,845,30.67448489476694
18,1317,46.42838085951986
16,3124,33.186626918021
18,883,34.24403043891132
15,1382,26.89237924411993
17,1521,32.97493853222215
27,1798,48.05888611016266
29,1937,56.38509681825244
13,2882,21.498510523728477
7,165,7.653039857325812
14,334,18.333991376950163
14,501,23.26213245840639
10,1249,10.02925341359355
8,1839,8.593479713983122
16,2321,19.706294962377495
13,3443,15.054455784347004
15,3534,23.803184606416586
7,675,6.180387232371033
7,756,5.641895835477563
7,2196,6.180387232371033
8,2813,7.978845608028654
8,3263,6.6755811781245455
24,945,14.093451279891855
19,3086,20.153496341094687
15,159,8.368283871884005
21,3192,16.812470934731934
17,1842,8.214724333230155
17,3418,7.399277020331919
17,2653,4.51351666838205
18,2866,6.6755811781245455
43,1073,53.559394080668255
40,1217,53.368875401047745
34,2042,34.68733731168665
23,2554,7.735777827895049
23,1842,5.970821321441846
30,562,13.540550005146152
34,2802,18.437867513470433
29,1607,4.918490759365935
38,2602,19.60913925979463
38,730,17.876888032555495
32,2329,7.312732791431452
43,2444,19.60913925979463
44,1657,23.04215463350949
40,3351,5.970821321441846
59,595,35.35988168715967
46,1468,8.51907589177983
51,273,14.138550439257221
56,3112,24.306031118985995
50,3349,8.214724333230155
59,3707,22.56758334191025
68,1760,33.64386950500135
62,3333,15.756957549709801
55,2622,8.058239062071396
58,1380,14.361922094451577
60,2468,16.925687506432688
61,2850,19.64157789116634
68,3808,25.15551736167189
68,2304,5.170882945826411
74,1584,16.11647812414279
72,1708,11.340070282773887
86,957,43.394945404543435
71,1025,7.48482063701911
73,137,7.225151993843567
78,691,18.746042631630413
74,1866,4.918490759365935
76,3306,6.770275002573076
90,2824,12.257335203001883
96,2370,20.310825007719227
111,2986,47.95279572445911
114,3344,37.7459276023076
110,537,45.16336735304101
97,402,13.446189622059965
96,143,9.09728368293446
102,2454,20.683531783305643
100,3036,13.159049284959082
119,1827,37.37303547444967
105,1094,12.766152972845846
104,98,9.83698151873187
109,1892,20.248040236149336
109,223,22.539356209735228
103,2846,5.527906391541368
109,3797,12.514330345744634
107,2909,4.370193722368317
113,1510,16.66031874701878
110,141,7.978845608028654
115,1576,15.957691216057308
124,1211,31.086794856562303
118,422,11.227230955528665
141,3774,52.732866086546025
120,3304,8.058239062071396
133,2579,36.266464532835606
132,182,28.76813695875796
135,1101,24.695783889727878
137,2464,34.15095054280933
128,1874,11.451797811161432
128,2809,8.368283871884005
130,2775,9.0270333367641
131,3258,10.645107772184812
133,3221,11.941642642883693
131,3323,8.667244841319219
146,3494,35.1250497344612
150,3378,42.22008245644752
142,2356,9.507891862878783
157,2923,32.23295624828558
147,776,7.225151993843567
147,837,4.652426491681278
153,2102,10.940041919714261
154,2867,11.283791670955125
152,1124,7.978845608028654
165,2705,34.20682887394876
161,3606,25.45739437315213
154,3810,11.283791670955125
154,2508,8.593479713983122
156,856,5.970821321441846
160,1249,12.964089628857149
161,1999,15.716503163191918
161,3154,8.214724333230155
165,1287,8.444016491289505
165,1046,7.653039857325812
167,3075,4.51351666838205
172,1048,9.0270333367641
189,1363,39.65414023463283
180,1805,17.075475271404667
186,2537,17.186959427966244
189,2143,19.281751659604673
192,3669,26.075082298788182
187,2700,14.450303987687134
188,2044,8.058239062071396
187,3225,6.282549314314218
189,1809,4.652426491681278
189,3283,6.282549314314218
191,3080,4.787307364817192
193,3143,10.998079684646791
192,2269,8.812923024107548
