lat,long,diameter
14,16,33.16743834924821
15,3822,36.03754064347158
20,1341,34.355393433484295
19,3101,53.58316128577887
15,2876,22.140398025397776
16,166,34.262616074167774
18,558,28.16430784468183
16,2678,30.487126261041215
7,641,8.444016491289505
7,2799,6.180387232371033
7,2946,6.282549314314218
7,3397,8.593479713983122
7,56,5.970821321441846
17,993,19.44613444328572
7,1111,4.222008245644752
7,1601,4.918490759365935
7,2561,4.51351666838205
21,2745,21.646065519224038
8,3176,4.222008245644752
17,3281,22.34076770248023
7,3453,4.51351666838205
18,602,16.88803298257901
16,2648,9.373021315815206
21,2795,14.884343478431232
16,3401,6.4820448144285745
15,2442,6.6755811781245455
23,1391,18.229523339239496
16,3161,4.51351666838205
16,3413,4.222008245644752
21,3611,16.312788383647018
17,534,4.51351666838205
18,754,7.312732791431452
17,2954,7.225151993843567
17,1098,4.370193722368317
20,2629,7.735777827895049
18,3433,4.068428945128219
19,2704,4.370193722368317
21,2785,4.918490759365935
35,2615,28.812361638146328
47,3196,43.247992915463186
24,1308,4.787307364817192
25,786,9.640875829802336
25,2954,10.02925341359355
25,1015,8.740387444736633
30,3314,14.581872443920643
27,3221,7.898654169668588
30,720,9.706684619910241
27,1103,6.383076486422923
31,1584,14.841510746523857
31,2644,11.834540545406394
29,3787,7.312732791431452
29,2768,4.068428945128219
36,3588,16.39065416446578
34,1309,5.753627391751592
41,1223,16.11647812414279
41,47,6.863662517577698
52,1018,26.916041702938184
44,1764,8.444016491289505
51,2416,21.675455981530703
52,3781,24.54062559633988
48,419,12.463355264843006
53,3555,14.494292838262302
51,2431,5.527906391541368
53,2855,9.965574970333758
56,2483,15.012108426804138
53,2756,8.740387444736633
55,3085,8.214724333230155
75,1296,45.177461086369895
62,1791,18.089294154193436
63,2347,18.403307281560924
57,250,8.812923024107548
56,957,6.383076486422923
70,2087,28.61281229213077
56,59,4.068428945128219
61,172,17.186959427966244
57,813,7.312732791431452
73,1479,38.85951749643713
64,588,11.507254783503184
64,1702,9.166995688475081
71,2200,20.090219901261573
70,1122,11.055812783082736
69,3193,6.6755811781245455
74,1231,15.67594437773643
70,2681,7.653039857325812
78,3332,23.42576026046658
76,2264,15.99753570059363
81,820,11.11324596323283
76,3817,4.370193722368317
83,2055,9.640875829802336
83,3129,8.740387444736633
84,3711,9.901487006738307
84,2466,5.292567428401227
99,2327,30.23550881198871
101,1063,35.50362163621919
90,1094,10.217907939900583
99,2900,24.069150231250354
93,554,9.772050238058398
96,581,10.585134856802455
96,2996,8.368283871884005
100,1003,13.727325035155395
97,376,8.136857890256438
101,2924,4.652426491681278
100,3784,9.0270333367641
101,3403,10.02925341359355
102,1967,9.640875829802336
106,2151,12.360774464742066
104,1212,6.180387232371033
104,2889,4.370193722368317
109,2180,13.727325035155395
109,569,9.507891862878783
110,2970,9.772050238058398
128,2674,48.257176951419495
112,1652,6.579524642479541
118,228,14.138550439257221
117,716,11.055812783082736
122,2603,17.297725082009
133,195,37.64459607022283
122,2367,14.317526556719258
135,1682,32.07456238432586
125,1763,11.055812783082736
129,2232,17.94796937867892
124,881,5.4115163798060095
129,616,6.076507779746499
128,2138,4.652426491681278
134,2744,14.668929172241665
131,2817,9.304852983362556
132,3320,5.970821321441846
140,3463,18.0540666735282
139,2004,10.217907939900583
137,3174,8.593479713983122
142,3354,16.96325844612841
142,1559,12.153015559492998
140,2162,9.772050238058398
140,2346,10.823032759612019
145,1273,7.735777827895049
149,2321,15.09668435477122
147,2026,8.444016491289505
148,756,7.653039857325812
157,2189,21.996159369293583
151,3396,8.812923024107548
158,2584,13.255453865237978
158,3188,10.217907939900583
164,263,14.538148590038452
165,3521,14.581872443920643
161,3623,9.373021315815206
169,712,22.34076770248023
172,3077,20.0585068271871
168,39,9.440697438826296
169,2693,8.51907589177983
185,2004,34.46639660942099
178,2429,23.06976657227589
174,544,8.95623198216277
174,762,9.373021315815206
177,1889,13.110581167104948
175,2917,10.341765891652821
178,3802,16.11647812414279
180,155,9.965574970333758
178,606,4.787307364817192
183,59,11.562445770562215
185,2629,7.312732791431452
192,2546,17.983404693292407
192,2646,8.291859587312052
201,521,25.332049473868512
194,2512,11.617374563210365
204,2276,23.58825303088947
199,2990,12.463355264843006
209,2172,22.312253628700276
200,3144,6.863662517577698
204,885,9.901487006738307
206,289,9.83698151873187
206,1581,9.83698151873187
208,2189,11.283791670955125
212,3462,18.0540666735282
207,3769,9.507891862878783
210,215,10.524820207108489
227,1435,36.97917347704738
210,2958,10.464157913908982
223,761,30.340603007249587
208,436,5.970821321441846
216,1311,17.371176474327626
213,2625,12.100518486599809
210,3577,6.4820448144285745
217,3622,16.195287778099022
214,2850,7.569397566060481
216,2485,10.464157913908982
214,2719,7.898654169668588
235,2217,34.815571898044055
220,623,10.02925341359355
227,3000,23.31680264534386
222,3771,10.881694613449236
222,154,10.881694613449236
224,3639,8.368283871884005
238,205,27.66255531193445
230,447,11.340070282773887
227,2202,6.579524642479541
240,2337,36.56366395715726
240,1779,26.001734523957655
235,1909,15.347615963921077
237,2926,12.100518486599809
241,61,14.712264360219255
236,3301,12.666024736934256
235,1406,6.770275002573076
237,3316,5.753627391751592
235,3544,5.863230142835039
244,1887,18.159544104586082
244,1280,14.002817212590296
245,1001,12.565098628628435
244,3557,8.444016491289505
243,1993,5.046265044040321
247,3292,4.787307364817192
247,66,4.370193722368317
251,587,13.957279475043833
251,2446,8.136857890256438
250,2750,6.4820448144285745
263,869,31.975167777860612
251,1406,4.652426491681278
251,1457,8.368283871884005
255,2770,14.27299292922217
252,1343,5.170882945826411
253,1211,5.527906391541368
266,3411,30.29860907292697
265,3167,23.12489154112443
263,327,15.26443044094783
261,2572,11.67204486311899
258,2963,4.918490759365935
262,1441,7.898654169668588
267,1855,19.015783725757565
260,2418,5.170882945826411
264,3375,12.666024736934256
265,1754,12.205286835384658
264,1015,6.076507779746499
281,2350,28.812361638146328
272,1325,14.884343478431232
271,624,8.812923024107548
270,2418,6.770275002573076
272,2269,9.772050238058398
276,2674,12.964089628857149
272,3612,4.51351666838205
278,186,12.412170838050638
286,1987,25.40733061895184
284,2702,11.67204486311899
283,3210,9.304852983362556
284,2760,7.817640190446719
285,3036,8.812923024107548
291,791,14.450303987687134
286,276,4.068428945128219
289,2320,8.95623198216277
289,3126,6.076507779746499
303,353,36.47650372840365
290,1654,6.282549314314218
298,616,17.03815178355966
292,1146,4.068428945128219
297,2716,10.280023453913834
295,2741,5.046265044040321
299,390,9.901487006738307
299,1434,8.740387444736633
320,1834,25.104851615652017
301,2682,9.373021315815206
302,3625,5.046265044040321
304,2366,8.444016491289505
303,2632,5.970821321441846
305,1341,7.399277020331919
308,1537,12.360774464742066
307,3561,10.998079684646791
312,3673,20.7449985808745
306,3700,7.898654169668588
308,2319,11.726460285670077
318,2991,28.568278705151968
307,1500,5.753627391751592
309,3612,8.136857890256438
314,1967,17.297725082009
313,2853,13.013103375051497
310,136,4.370193722368317
311,3538,4.068428945128219
315,2343,12.153015559492998
315,3108,9.507891862878783
317,747,5.4115163798060095
316,1178,7.817640190446719
320,2374,12.565098628628435
323,3209,16.195287778099022
321,1400,8.136857890256438
322,3353,10.02925341359355
324,191,12.100518486599809
323,546,9.373021315815206
324,796,5.046265044040321
337,824,17.14987856615383
326,1420,9.83698151873187
324,1620,4.51351666838205
327,2368,9.965574970333758
327,1448,7.225151993843567
331,681,9.901487006738307
331,227,7.399277020331919
332,177,7.399277020331919
332,3023,7.978845608028654
333,1821,4.370193722368317
338,2293,14.093451279891855
340,1046,16.351767622932517
338,3544,10.155412503859614
346,320,13.773623058786647
345,76,9.373021315815206
346,2739,9.0270333367641
356,253,28.05106127486678
347,1368,6.076507779746499
347,1377,5.170882945826411
358,1315,24.875578761936154
359,1648,26.726155439876237
350,2649,7.817640190446719
349,1679,5.170882945826411
355,739,18.5411616971131
356,3387,14.625465582862905
359,155,15.67594437773643
359,3045,9.507891862878783
363,3316,14.798554040663838
365,3232,17.66192765414112
370,3629,11.227230955528665
373,2085,27.66255531193445
365,1366,5.641895835477563
372,1985,15.138795132120961
370,2368,12.964089628857149
378,845,21.290215544369623
380,2313,23.09734550211416
376,3144,11.170383851240114
379,3609,15.09668435477122
393,3687,44.510231763134115
380,2907,15.756957549709801
393,608,31.127725479762553
383,2550,10.464157913908982
383,2894,9.166995688475081
400,1658,35.35988168715967
383,2667,8.740387444736633
383,3753,9.706684619910241
385,1366,9.965574970333758
384,866,4.068428945128219
389,544,9.772050238058398
397,3825,22.708192698181442
395,2256,22.959119571977435
392,1101,13.63425735166143
389,1173,5.970821321441846
394,1578,15.347615963921077
391,64,7.817640190446719
390,517,5.970821321441846
390,3078,4.068428945128219
395,2001,13.159049284959082
395,1195,6.770275002573076
397,2963,11.941642642883693
395,3101,5.863230142835039
406,3261,25.928179257714298
399,87,10.464157913908982
400,109,6.076507779746499
400,3572,8.214724333230155
401,1114,6.282549314314218
408,142,15.012108426804138
404,1817,7.312732791431452
415,949,15.09668435477122
408,1714,6.955796338302048
413,1382,15.471555655790098
411,1220,9.507891862878783
414,1431,13.680870333281758
420,1821,19.706294962377495
423,392,21.079862454783044
416,1981,7.978845608028654
415,3000,5.4115163798060095
416,1693,4.918490759365935
419,2318,9.574614729634384
422,2778,17.03815178355966
424,592,18.881394877652593
429,884,30.29860907292697
422,3666,11.834540545406394
423,3699,14.183506197980657
423,2249,8.368283871884005
426,3577,16.312788383647018
424,116,9.574614729634384
425,2460,9.772050238058398
424,2757,10.341765891652821
423,496,7.898654169668588
427,241,10.341765891652821
432,1137,12.716187407449045
431,1321,11.451797811161432
434,2705,18.5411616971131
431,3238,9.83698151873187
434,707,14.406180819073164
448,2077,39.493270848342945
439,2799,9.706684619910241
435,1990,10.217907939900583
453,2450,44.695781072596446
436,2623,10.092530088080641
434,2320,5.863230142835039
438,741,9.0270333367641
439,3652,11.562445770562215
441,795,9.304852983362556
439,1641,5.292567428401227
460,2920,36.89299490854448
448,3058,9.83698151873187
462,3589,36.961953837707625
450,1430,8.593479713983122
451,122,9.440697438826296
455,2528,17.112717355495807
453,1408,9.166995688475081
451,629,4.652426491681278
457,3376,10.940041919714261
461,1750,16.273715780512877
460,1233,12.205286835384658
466,158,17.480774889473267
460,456,4.068428945128219
462,224,7.569397566060481
470,2357,16.96325844612841
471,1828,20.404639941160397
466,1978,7.569397566060481
496,766,60.86975501165849
490,3077,41.197430904511165
473,1301,16.23454913941803
475,2512,18.229523339239496
481,2571,14.183506197980657
474,628,11.617374563210365
472,1584,5.753627391751592
481,1678,14.755472278097805
479,2622,7.399277020331919
482,1806,9.507891862878783
486,1870,15.012108426804138
481,2996,4.652426491681278
493,488,22.45446191105733
502,17,33.71947380147709
487,2257,7.569397566060481
498,3293,30.922530590107066
490,2140,7.735777827895049
496,1372,11.055812783082736
492,3013,4.370193722368317
494,1318,5.970821321441846
495,1495,7.898654169668588
502,2100,21.079862454783044
511,2977,41.90223540802793
497,1527,10.881694613449236
498,3722,9.166995688475081
496,2074,4.068428945128219
500,1064,8.368283871884005
503,1264,12.360774464742066
507,2785,19.47884453275087
504,2581,8.95623198216277
504,88,7.399277020331919
513,3065,13.957279475043833
531,1001,43.32153147038583
516,741,14.798554040663838
518,1249,12.565098628628435
520,3206,19.44613444328572
518,1343,14.406180819073164
514,2403,4.222008245644752
518,1963,9.166995688475081
521,3252,12.047792665040703
520,1284,10.464157913908982
521,1632,9.09728368293446
522,2166,10.704744696916627
523,1378,10.823032759612019
520,1814,5.046265044040321
524,834,10.217907939900583
523,145,6.180387232371033
524,264,7.569397566060481
527,3606,13.911592676604096
532,1296,14.798554040663838
529,3430,9.83698151873187
532,1508,11.888212206450685
534,2888,14.27299292922217
531,1540,5.170882945826411
532,1362,5.4115163798060095
534,1163,8.740387444736633
554,30,42.25022889545923
539,3156,6.076507779746499
541,743,8.136857890256438
546,124,14.450303987687134
546,1661,10.645107772184812
545,1992,6.180387232371033
550,297,7.978845608028654
550,3572,8.444016491289505
550,1342,6.383076486422923
553,2756,8.812923024107548
558,1581,17.55346033766304
561,1672,21.967197988242077
561,1465,16.15593100600236
561,1175,10.704744696916627
561,2228,9.304852983362556
559,2530,5.046265044040321
561,3230,9.772050238058398
561,1395,6.863662517577698
560,3344,6.770275002573076
581,3392,28.00563442518059
564,3359,9.965574970333758
569,3592,19.015783725757565
565,1325,9.166995688475081
568,435,10.704744696916627
567,599,8.593479713983122
570,1377,7.653039857325812
572,2667,12.666024736934256
576,3727,15.756957549709801
572,1101,7.046725639945928
573,1394,7.225151993843567
577,1418,14.138550439257221
588,159,28.76813695875796
574,2994,4.370193722368317
577,2723,9.772050238058398
576,12,4.068428945128219
578,3684,4.787307364817192
602,1522,39.16955005365611
579,2634,5.527906391541368
583,3668,5.970821321441846
584,15,4.222008245644752
589,1207,12.153015559492998
594,856,17.91246396432554
593,2560,17.769732893161912
589,1321,5.4115163798060095
590,1554,4.787307364817192
593,2012,7.569397566060481
592,978,5.753627391751592
593,3711,7.978845608028654
598,1401,8.667244841319219
602,1852,16.07692842495848
601,3009,10.524820207108489
602,539,10.155412503859614
603,497,7.312732791431452
606,3396,7.48482063701911
609,845,7.898654169668588
607,1560,7.653039857325812
609,150,10.704744696916627
610,425,12.205286835384658
610,1230,10.998079684646791
618,2245,23.98967015655475
607,3058,4.918490759365935
612,608,12.360774464742066
610,2280,7.978845608028654
612,3113,11.11324596323283
611,210,10.341765891652821
612,1455,9.440697438826296
622,1915,32.11423409074988
